2048 Agent Evaluation Results
============================================================
Timestamp  : 2026-04-12 14:47:11
Agent      : td (weights=weights/td_ntuple.npz)
Games      : 1000


── Summary ───────────────────────────────
  Total time   : 105.7s  (0.11s/game)
  Avg score    :     37,949
  Median score :     36,332
  Std dev      :     17,729
  Best score   :    106,768
  Worst score  :      3,148
  Avg moves    :       1916
  Median moves :       1886
  Win rate     :      76.7%  (767/1000 reached 2048)

  Max tile distribution:
     8192 :   0.1%  (   1 games)  
     4096 :  23.4%  ( 234 games)  ███████████
     2048 :  53.2%  ( 532 games)  ██████████████████████████
     1024 :  20.4%  ( 204 games)  ██████████
      512 :   2.5%  (  25 games)  █
      256 :   0.4%  (   4 games)  
──────────────────────────────────────────

  Score percentiles:
    p10 :     16,784
    p25 :     25,532
    p50 :     36,340
    p75 :     46,236
    p90 :     62,868
    p95 :     70,236
    p99 :     84,400

============================================================
Per-Game Results
============================================================
  Game       Score   Moves   Max Tile   Won
------  ----------  ------  ---------  ----
     1      27,276    1422      2,048   yes
     2      38,208    2010      2,048   yes
     3      17,624    1041      1,024      
     4      65,128    3097      4,096   yes
     5      63,724    2993      4,096   yes
     6      13,552     802      1,024      
     7      40,108    2094      2,048   yes
     8      21,420    1243      1,024      
     9      20,144    1191      1,024      
    10      37,872    1986      2,048   yes
    11      28,288    1507      2,048   yes
    12      40,808    2142      2,048   yes
    13      40,908    2161      2,048   yes
    14      23,848    1228      2,048   yes
    15      30,732    1547      2,048   yes
    16      80,064    3680      4,096   yes
    17      40,392    2125      2,048   yes
    18      45,892    2384      2,048   yes
    19      36,604    1893      2,048   yes
    20      38,168    1961      2,048   yes
    21      76,152    3474      4,096   yes
    22      64,000    2955      4,096   yes
    23      26,976    1416      2,048   yes
    24      36,184    1878      2,048   yes
    25      53,916    2518      4,096   yes
    26      20,428    1205      1,024      
    27      16,240     967      1,024      
    28      17,148    1026      1,024      
    29      52,520    2441      4,096   yes
    30      26,304    1374      2,048   yes
    31      20,440    1205      1,024      
    32      38,700    2042      2,048   yes
    33      34,028    1770      2,048   yes
    34      33,192    1722      2,048   yes
    35      69,440    3182      4,096   yes
    36      63,668    2916      4,096   yes
    37      71,516    3363      4,096   yes
    38      39,820    2063      2,048   yes
    39      60,328    2795      4,096   yes
    40      37,360    1978      2,048   yes
    41      60,448    2803      4,096   yes
    42      76,724    3516      4,096   yes
    43      36,184    1874      2,048   yes
    44      29,196    1554      2,048   yes
    45      43,764    2248      2,048   yes
    46      40,844    2151      2,048   yes
    47      54,160    2495      4,096   yes
    48      31,376    1652      2,048   yes
    49      32,212    1644      2,048   yes
    50      18,648    1113      1,024      
    51      38,120    1999      2,048   yes
    52      18,080    1074      1,024      
    53      59,088    2759      4,096   yes
    54      20,288    1180      1,024      
    55      36,284    1881      2,048   yes
    56      18,264    1089      1,024      
    57       6,392     457        512      
    58      27,520    1451      2,048   yes
    59      52,140    2394      4,096   yes
    60      16,852    1008      1,024      
    61      29,128    1537      2,048   yes
    62      16,132     952      1,024      
    63      52,724    2443      4,096   yes
    64      58,712    2725      4,096   yes
    65      18,092    1082      1,024      
    66      63,060    2958      4,096   yes
    67      36,228    1883      2,048   yes
    68      23,980    1239      2,048   yes
    69      12,016     723      1,024      
    70      20,004    1160      1,024      
    71      62,076    2910      4,096   yes
    72       9,596     649        512      
    73      36,064    1855      2,048   yes
    74      37,940    1993      2,048   yes
    75      18,648    1082      1,024      
    76      36,296    1872      2,048   yes
    77      16,940    1014      1,024      
    78      28,684    1518      2,048   yes
    79      31,860    1692      2,048   yes
    80      36,848    1916      2,048   yes
    81      36,484    1904      2,048   yes
    82      58,952    2716      4,096   yes
    83      30,908    1626      2,048   yes
    84      66,264    3103      4,096   yes
    85      39,224    2050      2,048   yes
    86      33,388    1722      2,048   yes
    87      56,648    2625      4,096   yes
    88      69,432    3261      4,096   yes
    89      85,324    3835      4,096   yes
    90      57,308    2657      4,096   yes
    91      15,072     900      1,024      
    92      38,352    1961      2,048   yes
    93      40,404    2101      2,048   yes
    94      54,192    2473      4,096   yes
    95      52,312    2421      4,096   yes
    96      31,124    1569      2,048   yes
    97      83,296    3812      4,096   yes
    98      76,108    3538      4,096   yes
    99      17,884    1062      1,024      
   100      56,920    2583      4,096   yes
   101      14,684     863      1,024      
