2048 Agent Evaluation Results
============================================================
Timestamp  : 2026-04-12 15:44:13
Agent      : expectimax (depth=3, chance_cells=2)
Games      : 100


── Summary ───────────────────────────────
  Total time   : 2655.4s  (26.55s/game)
  Avg score    :     22,352
  Median score :     16,740
  Std dev      :      9,485
  Best score   :     55,892
  Worst score  :      5,548
  Avg moves    :       1207
  Median moves :        986
  Win rate     :      46.0%  (46/100 reached 2048)

  Max tile distribution:
     4096 :   2.0%  (   2 games)  █
     2048 :  44.0%  (  44 games)  ██████████████████████
     1024 :  48.0%  (  48 games)  ████████████████████████
      512 :   6.0%  (   6 games)  ███
──────────────────────────────────────────

  Score percentiles:
    p10 :     14,388
    p25 :     16,100
    p50 :     16,748
    p75 :     30,548
    p90 :     34,552
    p95 :     35,524
    p99 :     55,892

============================================================
Per-Game Results
============================================================
  Game       Score   Moves   Max Tile   Won
------  ----------  ------  ---------  ----
     1      27,988    1476      2,048   yes
     2      16,052     936      1,024      
     3      16,148     956      1,024      
     4      16,892     988      1,024      
     5      27,168    1412      2,048   yes
     6      16,100     948      1,024      
     7       7,240     504        512      
     8      15,868     935      1,024      
     9      32,460    1662      2,048   yes
    10      11,632     681      1,024      
    11      26,764    1379      2,048   yes
    12      16,328     977      1,024      
    13      16,092     947      1,024      
    14      35,252    1815      2,048   yes
    15      12,036     702      1,024      
    16      16,348     981      1,024      
    17      16,436     977      1,024      
    18      34,552    1771      2,048   yes
    19       7,220     500        512      
    20      27,384    1418      2,048   yes
    21      23,912    1226      2,048   yes
    22      55,892    2527      4,096   yes
    23      16,088     946      1,024      
    24      15,564     911      1,024      
    25      16,732     984      1,024      
    26      17,348    1049      1,024      
    27      33,832    1717      2,048   yes
    28      31,976    1627      2,048   yes
    29      34,536    1765      2,048   yes
    30      15,996     938      1,024      
    31       7,336     508        512      
    32      16,196     956      1,024      
    33      36,128    1858      2,048   yes
    34      15,240     878      1,024      
    35      28,140    1493      2,048   yes
    36      31,940    1616      2,048   yes
    37      16,520     984      1,024      
    38      16,212     949      1,024      
    39      16,004     929      1,024      
    40       5,548     391        512      
    41      35,244    1800      2,048   yes
    42      30,360    1526      2,048   yes
    43      15,396     889      1,024      
    44      16,328     976      1,024      
    45      34,572    1777      2,048   yes
    46      26,964    1393      2,048   yes
    47      15,616     922      1,024      
    48      16,120     953      1,024      
    49      16,316     973      1,024      
    50      16,128     955      1,024      
    51      15,772     916      1,024      
    52      12,120     717      1,024      
    53      27,232    1417      2,048   yes
    54      23,620    1224      2,048   yes
    55      16,452     968      1,024      
    56      34,448    1760      2,048   yes
    57      16,720     995      1,024      
    58      26,588    1371      2,048   yes
    59      16,092     947      1,024      
    60       8,012     569        512      
    61      34,464    1759      2,048   yes
    62      16,416     979      1,024      
    63      27,320    1433      2,048   yes
    64      35,524    1820      2,048   yes
    65      16,404     975      1,024      
    66      23,456    1204      2,048   yes
    67      27,528    1442      2,048   yes
    68      16,076     947      1,024      
    69      27,220    1422      2,048   yes
    70      16,236     965      1,024      
    71      23,188    1180      2,048   yes
    72      16,400     968      1,024      
    73      32,604    1680      2,048   yes
    74      21,636    1089      2,048   yes
    75      14,648     858      1,024      
    76      25,560    1313      2,048   yes
    77      30,548    1535      2,048   yes
    78      16,216     950      1,024      
    79      32,204    1635      2,048   yes
    80      16,496     981      1,024      
    81      34,328    1760      2,048   yes
    82      32,548    1672      2,048   yes
    83      35,404    1806      2,048   yes
    84      13,044     782      1,024      
    85      16,156     947      1,024      
    86      14,388     836      1,024      
    87      16,124     954      1,024      
    88      25,528    1305      2,048   yes
    89      32,240    1635      2,048   yes
    90      35,796    1821      2,048   yes
    91      32,256    1642      2,048   yes
    92      31,136    1562      2,048   yes
    93      16,224     958      1,024      
    94      17,048    1022      1,024      
    95      16,284     982      1,024      
    96      27,368    1434      2,048   yes
    97      16,748     977      1,024      
    98      51,772    2382      4,096   yes
    99      26,416    1348      2,048   yes
   100       7,052     480        512      
